Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
FLS,2017-05-01,46.36,46.7887901235,0.00924913985132,51.0,2,1,0.864834504031,160.958445354,0.311062321544,0.028156,Industrials
FMC,2017-05-03,76.63,50.9145516395,-0.335579386148,63.0,6,2,0.965094812042,286.706709358,0.154539571441,0.047069,Materials
FOX,2017-05-10,29.22,25.4248944806,-0.129880407921,47.0,5,1,0.90288906763,86.537016477,0.147772904866,0.063442,Consumer Discretionary
FRT,2017-05-03,135.03,126.121740824,-0.0659724444625,64.0,4,1,0.963565718005,417.535175874,0.129999917103,0.044172,Real Estate
GD,2017-04-26,193.84,219.747834321,0.1336557693,64.0,3,1,0.926240324072,264.708409247,0.144417690527,0.271227,Industrials
GE,2017-05-05,25.79,27.0492315057,0.0488263476408,63.0,2,1,0.846196704409,171.556149241,0.117039751682,1.097335,Industrials
GGP,2017-05-04,24.07,21.1986748541,-0.119290616782,60.0,2,2,0.7036406145,71.0413050619,0.5018329289,0.063981,Real Estate
GILD,2017-05-10,74.96,106.020691235,0.414363543684,64.0,4,0,0.909361453584,159.017129138,0.295607725925,0.452251,Health Care
GIS,2017-06-29,55.49,53.3566882589,-0.0384449764126,65.0,6,1,0.944074194452,181.062220688,0.113408381612,0.148053,Consumer Staples
GLW,2017-07-26,29.49,22.9443697148,-0.2219610134,66.0,2,1,0.762520559723,105.353952334,0.269238789504,0.138676,Information Technology
GOOGL,2017-07-25,952.51,1049.25655109,0.101570115896,51.0,3,2,0.934157514853,237.462701545,0.13724641639,1.392971,Information Technology
GPC,2017-04-25,84.79,89.041581478,0.0501424870623,63.0,3,1,0.973492805855,759.995886582,0.087791543312,0.056984,Consumer Discretionary
GPN,2017-05-04,94.62,109.023694001,0.152226738541,62.0,3,1,0.887257925929,161.019330043,0.200041644901,0.067072,Information Technology
GPS,2017-06-05,24.26,22.44288848,-0.0749015465776,64.0,3,2,0.85880242133,128.727762882,0.15208430306,0.024617,Consumer Discretionary
