Name,Ticker,Weight,Sector,Shares
WEC Energy Group Inc,WEC,0.093467,Utilities,3531628
Hartford Financial Services Group Inc.,HIG,0.093204,Financials,4111693
Agilent Technologies Inc.,A,0.092777,Health Care,3609595
Omnicom Group Inc,OMC,0.091865,Consumer Discretionary,2635434
Symantec Corporation,SYMC,0.09135,Information Technology,6953110
Eversource Energy,ES,0.090556,Utilities,3509962
Royal Caribbean Cruises Ltd.,RCL,0.090515,Consumer Discretionary,1863167
Cerner Corporation,CERN,0.090463,Health Care,3278689
DTE Energy Company,DTE,0.090306,Utilities,2006656
Fortive Corp.,FTV,0.090095,Industrials,3366155
Fifth Third Bancorp,FITB,0.090093,Financials,8385491
Nucor Corporation,NUE,0.090044,Materials,3565238
Microchip Technology Incorporated,MCHP,0.089863,Information Technology,2567448
Willis Towers Watson Public Limited Company,WLTW,0.089468,Financials,1440631
Northern Trust Corporation,NTRS,0.088699,Financials,2405025
Concho Resources Inc.,CXO,0.088332,Energy,1657068
Apache Corporation,APA,0.087987,Energy,4229994
Expedia Inc.,EXPE,0.087737,Consumer Discretionary,1346159
V.F. Corporation,VFC,0.087233,Consumer Discretionary,3586207
Paychex Inc.,PAYX,0.086523,Information Technology,3589387
Boston Properties Inc.,BXP,0.086219,Real Estate,1721703
Dollar General Corporation,DG,0.085415,Consumer Discretionary,2840194
Newmont Mining Corporation,NEM,0.085322,Materials,5967751
Mylan N.V.,MYL,0.084967,Health Care,5104683
Citizens Financial Group Inc.,CFG,0.084568,Financials,5691831
Digital Realty Trust Inc.,DLR,0.084491,Real Estate,1788018
Red Hat Inc.,RHT,0.083963,Information Technology,2013776
Rockwell Collins Inc.,COL,0.083666,Industrials,1815249
Tyson Foods Inc. Class A,TSN,0.083206,Consumer Staples,3239884
Principal Financial Group Inc.,PFG,0.082644,Financials,2975776
Essex Property Trust Inc.,ESS,0.081751,Real Estate,734204
O'Reilly Automotive Inc.,ORLY,0.081469,Consumer Discretionary,1024357
Regions Financial Corporation,RF,0.081275,Financials,13474942
Freeport-McMoRan Inc.,FCX,0.08113,Materials,14760769
Equifax Inc.,EFX,0.0808,Industrials,1340638
Level 3 Communications Inc.,LVLT,0.080523,Telecommunication Services,3266793
Devon Energy Corporation,DVN,0.079327,Energy,5883186
Dr Pepper Snapple Group Inc.,DPS,0.079249,Consumer Staples,2060249
Dollar Tree Inc.,DLTR,0.07901,Consumer Discretionary,2648755
Clorox Company,CLX,0.078702,Consumer Staples,1426548
Kellogg Company,K,0.078453,Consumer Staples,2788453
Xilinx Inc.,XLNX,0.077962,Information Technology,2810589
Vulcan Materials Company,VMC,0.077602,Materials,1469362
Franklin Resources Inc.,BEN,0.076358,Financials,3870122
Molson Coors Brewing Company Class B,TAP,0.076256,Consumer Staples,2066694
Lincoln National Corporation,LNC,0.076011,Financials,2550016
KLA-Tencor Corporation,KLAC,0.075125,Information Technology,1752551
Mettler-Toledo International Inc.,MTD,0.074972,Health Care,291440
Laboratory Corporation of America Holdings,LH,0.074548,Health Care,1132884
Realty Income Corporation,O,0.073288,Real Estate,3033448
AmerisourceBergen Corporation,ABC,0.072017,Health Care,1858196
Mohawk Industries Inc.,MHK,0.071576,Consumer Discretionary,700032
Quest Diagnostics Incorporated,DGX,0.071001,Health Care,1536259
Hershey Company,HSY,0.070446,Consumer Staples,1572589
Republic Services Inc.,RSG,0.070355,Industrials,2576677
Ulta Beauty Inc,ULTA,0.07016,Consumer Discretionary,650874
Ball Corporation,BLL,0.070056,Materials,3918189
Invesco Ltd.,IVZ,0.069827,Financials,4583955
Centene Corporation,CNC,0.069404,Health Care,1928131
WestRock Co.,WRK,0.069354,Materials,2793113
Waters Corporation,WAT,0.069343,Health Care,893573
IDEXX Laboratories Inc.,IDXX,0.069333,Health Care,983285
DISH Network Corporation Class A,DISH,0.069328,Consumer Discretionary,2526989
HCP Inc.,HCP,0.069131,Real Estate,5167400
Best Buy Co. Inc.,BBY,0.068886,Consumer Discretionary,3028779
DENTSPLY SIRONA Inc.,XRAY,0.068862,Health Care,2592036
Motorola Solutions Inc.,MSI,0.068854,Information Technology,1815881
Henry Schein Inc.,HSIC,0.06883,Health Care,885375
Huntington Bancshares Incorporated,HBAN,0.068648,Financials,12010932
Andeavor Corporation,ANDV,0.068446,Energy,1664844
AutoZone Inc.,AZO,0.068201,Consumer Discretionary,321965
American Water Works Company Inc.,AWK,0.068082,Utilities,1994122
IHS Markit Ltd.,INFO,0.067352,Industrials,3528211
Martin Marietta Materials Inc.,MLM,0.067149,Materials,708742
Global Payments Inc.,GPN,0.067072,Information Technology,1699917
AMETEK Inc.,AME,0.066718,Industrials,2588957
TransDigm Group Incorporated,TDG,0.066591,Industrials,556572
Whirlpool Corporation,WHR,0.066564,Consumer Discretionary,832319
Harris Corporation,HRS,0.066473,Information Technology,1380619
J. M. Smucker Company,SJM,0.065812,Consumer Staples,1320419
Conagra Brands Inc.,CAG,0.065788,Consumer Staples,4624640
L3 Technologies Inc.,LLL,0.065291,Industrials,871612
FirstEnergy Corp.,FE,0.065166,Utilities,4950549
Entergy Corporation,ETR,0.064662,Utilities,2006146
Vornado Realty Trust,VNO,0.064243,Real Estate,1924461
GGP Inc.,GGP,0.063981,Real Estate,6423852
Church & Dwight Co. Inc.,CHD,0.063916,Consumer Staples,2861676
Coach Inc.,COH,0.063757,Consumer Discretionary,3146072
Ameren Corporation,AEE,0.063516,Utilities,2684232
Twenty-First Century Fox Inc. Class B,FOX,0.063442,Consumer Discretionary,5451487
Host Hotels & Resorts Inc.,HST,0.062984,Real Estate,8278619
Alliance Data Systems Corporation,ADS,0.06297,Information Technology,626091
Whole Foods Market Inc.,WFM,0.062791,Consumer Staples,3567352
TechnipFMC Plc,FTI,0.062655,Energy,5230422
Verisk Analytics Inc,VRSK,0.062118,Industrials,1708304
Loews Corporation,L,0.062063,Financials,3080439
Noble Energy Inc.,NBL,0.061688,Energy,5094152
Albemarle Corporation,ALB,0.061468,Materials,1236820
Nielsen Holdings Plc,NLSN,0.061182,Industrials,3730549
Textron Inc.,TXT,0.061139,Industrials,2982764
Dover Corporation,DOV,0.061066,Industrials,1741968
National Oilwell Varco Inc.,NOV,0.06069,Energy,4234900
CMS Energy Corporation,CMS,0.060634,Utilities,3087674
CenturyLink Inc.,CTL,0.060112,Telecommunication Services,6141955
Comerica Incorporated,CMA,0.060045,Financials,1966836
Hologic Inc.,HOLX,0.059978,Health Care,3133621
Hasbro Inc.,HAS,0.059889,Consumer Discretionary,1236625
Citrix Systems Inc.,CTXS,0.059767,Information Technology,1717089
Viacom Inc. Class B,VIAB,0.05964,Consumer Discretionary,3942471
Hilton Worldwide Holdings Inc,HLT,0.059601,Consumer Discretionary,2280325
Eastman Chemical Company,EMN,0.059397,Materials,1644730
XL Group Ltd,XL,0.058553,Financials,3001698
Fastenal Company,FAST,0.058035,Industrials,3196844
D.R. Horton Inc.,DHI,0.057931,Consumer Discretionary,3783139
Cooper Companies Inc.,COO,0.057832,Health Care,540184
Masco Corporation,MAS,0.057811,Industrials,3581117
Genuine Parts Company,GPC,0.056984,Consumer Discretionary,1654973
NetApp Inc.,NTAP,0.056939,Information Technology,3028865
CarMax Inc.,KMX,0.056767,Consumer Discretionary,2091958
Align Technology Inc.,ALGN,0.056729,Health Care,840300
CenterPoint Energy Inc.,CNP,0.056043,Utilities,4740213
