Ticker,Name,Asset Class,Weight,Sector
OHI,OMEGA HEALTHCARE INVESTORS REIT IN,Equity,0.37,Real Estate
LW,LAMB WESTON HOLDINGS INC,Equity,0.37,Consumer Staples
NNN,NATIONAL RETAIL PROPERTIES REIT IN,Equity,0.37,Real Estate
IPGP,IPG PHOTONICS CORP,Equity,0.37,Information Technology
WTR,AQUA AMERICA INC,Equity,0.37,Utilities
MSCC,MICROSEMI CORP,Equity,0.37,Information Technology
LOGM,LOGMEIN INC,Equity,0.36,Information Technology
TOL,TOLL BROTHERS INC,Equity,0.36,Consumer Discretionary
ULTI,ULTIMATE SOFTWARE GROUP INC,Equity,0.36,Information Technology
PACW,PACWEST BANCORP,Equity,0.35,Financials
TYL,TYLER TECHNOLOGIES INC,Equity,0.35,Information Technology
LAMR,LAMAR ADVERTISING COMPANY CLAS,Equity,0.35,Real Estate
POST,POST HOLDINGS INC,Equity,0.35,Consumer Staples
DEI,DOUGLAS EMMETT REIT INC,Equity,0.35,Real Estate
JLL,JONES LANG LASALLE INC,Equity,0.35,Real Estate
OSK,OSHKOSH CORP,Equity,0.34,Industrials
JBL,JABIL INC,Equity,0.34,Information Technology
RGLD,ROYAL GOLD INC,Equity,0.34,Materials
EV,EATON VANCE COM NON VOTING CORP,Equity,0.34,Financials
FTNT,FORTINET INC,Equity,0.34,Information Technology
LECO,LINCOLN ELECTRIC HOLDINGS INC,Equity,0.33,Industrials
HFC,HOLLYFRONTIER CORP,Equity,0.33,Energy
FAF,FIRST AMERICAN FINANCIAL CORP,Equity,0.33,Financials
SNV,SYNOVUS FINANCIAL CORP,Equity,0.33,Financials
OZRK,BANK OF OZARKS,Equity,0.32,Financials
ARRS,ARRIS INTERNATIONAL PLC,Equity,0.32,Information Technology
RS,RELIANCE STEEL & ALUMINUM,Equity,0.32,Materials
CFR,CULLEN FROST BANKERS INC,Equity,0.32,Financials
PII,POLARIS INDUSTRIES INC,Equity,0.32,Consumer Discretionary
TDY,TELEDYNE TECHNOLOGIES INC,Equity,0.32,Industrials
DCT,DCT INDUSTRIAL TRUST REIT INC TRUS,Equity,0.32,Real Estate
COHR,COHERENT INC,Equity,0.32,Information Technology
OLN,OLIN CORP,Equity,0.32,Materials
HIW,HIGHWOODS PROPERTIES REIT INC,Equity,0.32,Real Estate
ATR,APTARGROUP INC,Equity,0.31,Materials
CBSH,COMMERCE BANCSHARES INC,Equity,0.31,Financials
BRCD,BROCADE COMMUNICATIONS SYSTEMS INC,Equity,0.31,Information Technology
MDU,MDU RESOURCES GROUP INC,Equity,0.31,Utilities
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Equity,0.31,Information Technology
BRO,BROWN & BROWN INC,Equity,0.31,Financials
DNKN,DUNKIN BRANDS GROUP INC,Equity,0.31,Consumer Discretionary
NFG,NATIONAL FUEL GAS,Equity,0.31,Utilities
VVC,VECTREN CORP,Equity,0.31,Utilities
THO,THOR INDUSTRIES INC,Equity,0.31,Consumer Discretionary
BC,BRUNSWICK CORP,Equity,0.31,Consumer Discretionary
LYV,LIVE NATION ENTERTAINMENT INC,Equity,0.31,Consumer Discretionary
GNTX,GENTEX CORP,Equity,0.3,Consumer Discretionary
SON,SONOCO PRODUCTS,Equity,0.3,Materials
RNR,RENAISSANCERE HOLDING LTD,Equity,0.3,Financials
ACM,AECOM,Equity,0.3,Industrials
EGN,ENERGEN CORP,Equity,0.3,Energy
AGCO,AGCO CORP,Equity,0.29,Industrials
ORI,OLD REPUBLIC INTERNATIONAL CORP,Equity,0.29,Financials
AVT,AVNET INC,Equity,0.29,Information Technology
CRL,CHARLES RIVER LABORATORIES INTERNA,Equity,0.29,Health Care
BIO,BIO RAD LABORATORIES INC CLASS A,Equity,0.29,Health Care
SLM,SLM CORP,Equity,0.29,Financials
WBS,WEBSTER FINANCIAL CORP,Equity,0.29,Financials
MPW,MEDICAL PROPERTIES TRUST REIT INC,Equity,0.28,Real Estate
PNFP,PINNACLE FINANCIAL PARTNERS INC,Equity,0.28,Financials
WSO,WATSCO INC,Equity,0.28,Industrials
CY,CYPRESS SEMICONDUCTOR CORP,Equity,0.28,Information Technology
CONE,CYRUSONE REIT INC,Equity,0.28,Real Estate
EXP,EAGLE MATERIALS INC,Equity,0.28,Materials
VVV,VALVOLINE INC,Equity,0.28,Materials
PB,PROSPERITY BANCSHARES INC,Equity,0.28,Financials
HRC,HILL ROM HOLDINGS INC,Equity,0.28,Health Care
POOL,POOL CORP,Equity,0.28,Consumer Discretionary
CLB,CORE LABORATORIES NV,Equity,0.27,Energy
HAIN,HAIN CELESTIAL GROUP INC,Equity,0.27,Consumer Staples
EPR,EPR PROPERTIES REIT,Equity,0.27,Real Estate
PRXL,PAREXEL INTERNATIONAL CORP,Equity,0.27,Health Care
NCR,NCR CORP,Equity,0.27,Information Technology
FNB,FNB CORP,Equity,0.27,Financials
CRI,CARTERS INC,Equity,0.27,Consumer Discretionary
WGL,WGL HOLDINGS INC,Equity,0.27,Utilities
IDA,IDACORP INC,Equity,0.27,Utilities
